Date,Value
2023-09-01,0.008279
2023-09-02,0.00829
2023-09-03,0.008252
2023-09-04,0.008335
2023-09-05,0.008318
2023-09-06,0.008353
2023-09-07,0.008272
2023-09-08,0.008282
2023-09-09,0.008271
2023-09-10,0.008216
2023-09-11,0.008191
2023-09-12,0.008152
2023-09-13,0.008106
2023-09-14,0.008002
2023-09-15,0.008043
2023-09-16,0.008086
2023-09-17,0.008156
2023-09-18,0.00807
2023-09-19,0.007981
2023-09-20,0.007903
2023-09-21,0.007932
2023-09-22,0.007939
2023-09-23,0.007919
2023-09-24,0.007933
2023-09-25,0.007983
2023-09-26,0.008104
2023-09-27,0.008042
2023-09-28,0.007957
2023-09-29,0.007996
2023-09-30,0.00796
2023-10-01,0.007795
2023-10-02,0.007801
2023-10-03,0.007781
2023-10-04,0.007676
2023-10-05,0.007682
2023-10-06,0.007638
2023-10-07,0.00759
2023-10-08,0.007567
2023-10-09,0.007462
2023-10-10,0.007613
2023-10-11,0.007686
2023-10-12,0.007668
2023-10-13,0.007669
2023-10-14,0.00769
2023-10-15,0.007724
2023-10-16,0.007531
2023-10-17,0.007445
2023-10-18,0.007426
2023-10-19,0.007355
2023-10-20,0.007149
2023-10-21,0.007161
2023-10-22,0.007262
2023-10-23,0.006911
2023-10-24,0.006637
2023-10-25,0.006439
2023-10-26,0.006536
2023-10-27,0.00662
2023-10-28,0.006619
2023-10-29,0.006576
2023-10-30,0.006614
2023-10-31,0.00653
2023-11-01,0.006437
2023-11-02,0.006635
2023-11-03,0.006633
2023-11-04,0.006765
2023-11-05,0.006968
2023-11-06,0.007278
2023-11-07,0.006951
2023-11-08,0.006923
2023-11-09,0.006855
2023-11-10,0.006732
2023-11-11,0.006771
2023-11-12,0.006676
2023-11-13,0.006612
2023-11-14,0.006812
2023-11-15,0.0067
2023-11-16,0.00671
2023-11-17,0.006692
2023-11-18,0.006694
2023-11-19,0.006594
2023-11-20,0.006758
2023-11-21,0.006311
2023-11-22,0.00631
2023-11-23,0.006268
2023-11-24,0.006172
2023-11-25,0.006204
2023-11-26,0.006184
2023-11-27,0.006103
2023-11-28,0.006071
2023-11-29,0.006004
2023-11-30,0.006034
2023-12-01,0.005906
2023-12-02,0.005805
2023-12-03,0.005704
2023-12-04,0.00556
2023-12-05,0.005245
2023-12-06,0.005246
2023-12-07,0.005376
2023-12-08,0.005408
2023-12-09,0.005435
2023-12-10,0.005477
2023-12-11,0.005972
2023-12-12,0.006136
2023-12-13,0.005877
2023-12-14,0.005887
2023-12-15,0.00584
2023-12-16,0.005781
2023-12-17,0.005776
2023-12-18,0.005666
2023-12-19,0.005982
2023-12-20,0.005963
2023-12-21,0.00619
2023-12-22,0.006163
2023-12-23,0.006199
2023-12-24,0.00615
2023-12-25,0.006121
2023-12-26,0.007007
2023-12-27,0.007461
2023-12-28,0.007581
2023-12-29,0.007453
2023-12-30,0.007513
2023-12-31,0.007381
2024-01-01,0.007097
2024-01-02,0.006945
2024-01-03,0.007374
2024-01-04,0.007331
2024-01-05,0.007189
2024-01-06,0.00699
2024-01-07,0.006882
2024-01-08,0.006468
2024-01-09,0.006529
2024-01-10,0.00655
2024-01-11,0.006651
2024-01-12,0.006927
2024-01-13,0.00705
2024-01-14,0.007169
2024-01-15,0.007468
2024-01-16,0.007307
2024-01-17,0.00723
2024-01-18,0.007579
2024-01-19,0.007553
2024-01-20,0.007609
2024-01-21,0.007663
2024-01-22,0.007734
2024-01-23,0.007489
2024-01-24,0.00731
2024-01-25,0.007308
2024-01-26,0.007228
2024-01-27,0.007257
2024-01-28,0.00726
2024-01-29,0.007175
2024-01-30,0.007164
2024-01-31,0.007054
2024-02-01,0.006968
2024-02-02,0.006976
2024-02-03,0.006968
2024-02-04,0.007155
2024-02-05,0.007054
2024-02-06,0.007026
2024-02-07,0.006932
2024-02-08,0.007042
2024-02-09,0.006874
2024-02-10,0.006764
2024-02-11,0.006642
2024-02-12,0.006566
2024-02-13,0.006532
2024-02-14,0.006449
2024-02-15,0.006828
2024-02-16,0.006918
2024-02-17,0.006831
2024-02-18,0.006707
2024-02-19,0.006794
2024-02-20,0.006783
2024-02-21,0.007315
2024-02-22,0.007455
2024-02-23,0.007402
2024-02-24,0.007401
2024-02-25,0.007512
2024-02-26,0.007371
2024-02-27,0.006918
2024-02-28,0.006641
2024-02-29,0.006526
